Model Name,Accuracy L1,Accuracy L1,MAPE,Number of Sequence Len,Number of RPeaks,Masking block length, scaling_technique
model_500_6_0546_07082025.pth,69.99685,63.842674,1.7685641,500,6,30, minmax_1
model_500_8_0748_07082025.pth,70.775375,63.933605,1.740894,500,8,30, minmax_1
model_500_6_0950_07082025.pth,58.358944,55.08453,2.6777177,500,6,30, StandardScale
model_500_8_1153_07082025.pth,57.23482,54.38978,3.4944956,500,8,30, StandardScale

model_500_6_1657_07082025.pth,70.68827,65.21226,1.8547808,500,6,30,Minmax_05
model_500_8_1859_07082025.pth,69.903145,63.542267,1.8202324,500,8,30,Minmax_05
model_500_6_2129_07082025.pth,69.754486,59.98483,1.8148547,500,6,30,Minmax_05
model_1000_2_1820_12082025.pth,33.048138,13.132577,2.4908495,1000,2,60,Minmax_05
model_1000_2_0124_13082025.pth,27.168568,15.459921,2.131385,1000,2,60,Minmax_05
model_1000_3_0441_13082025.pth,35.924423,19.402493,2.049696,1000,3,60,Minmax_05
model_1000_2_1313_13082025.pth,64.311775,56.466614,2.37441,1000,2,28,Minmax_05
model_1000_3_1631_13082025.pth,64.088936,56.325554,1.9717858,1000,3,28,Minmax_05
model_1000_2_2323_13082025.pth,66.047424,58.662933,2.3096788,1000,2,28,Minmax_05
model_1000_3_0240_14082025.pth,67.46053,58.468563,2.1195102,1000,3,28,Minmax_05
model_1000_4_0600_14082025.pth,30.017252,15.17233,1.967856,1000,4,60,Minmax_05
model_1000_5_0920_14082025.pth,36.006725,15.784207,1.9091176,1000,5,60,Minmax_05
model_1000_4_1943_14082025.pth,31.116947,17.046509,2.0073671,1000,4,60,Minmax_05
model_1000_5_2303_14082025.pth,36.232555,18.071814,1.6953927,1000,5,60,Minmax_05
model_1000_3_0340_27082025.pth,75.90618,67.52898,1.0132113,1000,3,30,Minmax_05
model_1000_6_1736_27082025.pth,74.86448,67.85551,1.2988764,1000,6,30,Minmax_05
model_1000_6_1811_27082025.pth,74.292206,66.59833,1.3840783,1000,6,30,Minmax_05
model_1000_6_1937_29082025.pth,72.99691,64.37206,1.1148092,1000,6,30,Minmax_05
model_1000_6_2018_29082025.pth,76.00719,67.83028,1.0776517,1000,6,30,Minmax_05
model_1000_6_2227_29082025.pth,65.80704,52.890377,1.3590837,1000,6,30,Minmax_05
model_1000_6_2301_29082025.pth,67.62321,56.97212,1.5139426,1000,6,30,Minmax_05
model_1000_6_2323_29082025.pth,66.48027,52.79409,1.6501721,1000,6,30,Minmax_05
model_1000_3_0121_30082025.pth,76.75807,67.86812,1.0192766,1000,3,30,Minmax_05
model_1000_6_2311_01092025.pth,76.81244,71.43671,1.1875385,1000,6,30,Minmax_05
model_1000_6_0017_02092025.pth,75.81502,73.145935,1.5904245,1000,6,30,Minmax_05
model_1000_3_0536_02092025.pth,74.75176,72.17757,1.6740868,1000,3,30,Minmax_05
model_1000_3_0616_02092025.pth,76.07448,70.432,1.2766811,1000,3,30,Minmax_05
model_1000_3_0702_02092025.pth,76.470634,66.84756,0.73064965,1000,3,30,Minmax_05
model_1000_3_0034_03092025.pth,79.56073,68.93863,566680550000.0,1000,3,30,Minmax_05
model_500_3_0213_03092025.pth,76.71228,71.352135,1.288805,500,3,30,Minmax_05
model_1000_5_1037_06092025.pth,57.699944,56.644543,2.4546177,1000,5
model_1000_5_1050_06092025.pth,57.4015,55.312664,2.3941069,1000,5
model_1000_5_2345_06092025.pth,62.05343,59.989025,2.2900457,1000,5
model_1000_6_2357_06092025.pth,60.90114,58.63089,2.5624876,1000,6
model_1000_5_0119_07092025.pth,63.48358,61.454346,2.034524,1000,5
model_1000_5_1100_08092025.pth,61.998306,61.045685,2.23469,1000,5
model_1000_5_1126_08092025.pth,62.994946,60.89218,1.9797256,1000,5
